Temporal_Rep,Mvmt_Trt,Fertilizer_Trt,Leaf_Num,Longest_Lf,Avg_Lf_Dam,RGR
4,N,N,5,6.4,2,1.11194582
4,N,N,4,6,2,0.504879476
4,N,N,4,5.1,3.25,0.29712959
3,N,Y,6,11.1,1.5,-0.32993385
3,N,Y,6,9.5,0.333333333,-0.517863351
3,N,Y,5,9.5,0.4,-0.35170589
3,N,Y,7,9,3.857142857,-0.20966966
3,N,Y,6,9.6,0.5,-0.460779005
3,N,Y,7,9.5,3.714285714,0.2811635
3,N,Y,5,12,0.8,0.602232647
3,N,Y,5,10.8,3,0.832319279
3,N,Y,6,7.8,0,0.054035502
3,N,Y,4,9.1,7.25,0.34811202
3,N,Y,6,8.4,3.833333333,0.789819863
3,N,Y,6,8.5,8.833333333,0.106907754
3,N,Y,6,8.8,5.833333333,0.362533856
3,N,Y,7,9.2,3.857142857,-0.792705696
3,N,Y,6,5.75,7.5,-0.429119723
3,N,Y,8,5.58,10.375,-0.11206686
3,N,Y,7,7.5,1.142857143,-0.68334924
3,N,Y,4,6,6.5,-0.672337579
3,Y,N,5,5.5,5.6,0.174405529
3,Y,N,5,8.1,0.2,0.311984442
3,Y,N,6,6,2.5,0.245974042
4,N,Y,5,10.8,0.4,-0.070478938
4,N,Y,3,8.8,1.666666667,0.230197385
4,N,Y,4,7.9,1,0.354115211
4,N,Y,2,7,1,0.471599092
4,N,Y,6,8.8,1.166666667,0.381070026
4,N,Y,3,6.6,7,0.307461603
4,N,Y,5,10,1.2,0.236584452
4,N,Y,5,8.3,2.8,0.278285823
4,N,Y,5,7.9,1.6,0.266793104
4,N,Y,5,7,0.6,0.366114265
4,N,Y,5,8.6,2.2,0
4,N,Y,4,5.7,1,0.350886618
4,N,Y,2,6.5,1,0.251355995
4,N,Y,6,10.7,2,0.240308915
4,N,Y,7,10,2.714285714,-0.352547377
4,N,Y,4,8.7,0,0.337539293
4,N,Y,6,13.5,0.5,0.250445251
4,N,Y,6,9.8,2.333333333,0.127172826
4,Y,N,6,6.9,1.166666667,0.319792859
4,Y,N,5,6,3,0.317140412
4,Y,N,4,4.5,4.5,0.227281835
